Feature,Importance
17:35076296-35282086,2.7451703385670108
17:41983407-42049540,0.5041161339568354
16:67314736-68371045,0.46891990783454374
15:32605086-32654561,0.4537347515426132
11:80263397-80790766,0.4451760806144892
5:150224239-152555267,0.43556002818455664
16:69763173-70593293,0.37273117705701647
16:68710277-68751390,0.33782184574894764
3:196908262-196937230,0.3232480104164314
15:22374850-23389141,0.25808963725953965
23:1702016-1706462,0.24811327827114155
12:75396411-75693696,0.23829467769313764
8:37317937-37617735,0.23636455877323742
6:133447975-135173194,0.2279281658497862
3:196947293-196962380,0.20497105706330784
6:89106148-90015649,0.19739515719043715
15:18657388-18683110,0.19536676476875076
1:17030134-17037487,0.1929498693505742
14:34090931-34754302,0.18081425812634805
8:42123757-42175380,0.17809669136969494
1:149369522-149394958,0.1741036402566973
14:21464924-21511829,0.17164265214282373
16:68880321-69381055,0.16679690447311524
20:194755-763411,0.16671633760578966
16:68606309-68648091,0.15974134402696843
15:32523241-32594902,0.15932073112889558
6:135204537-135259324,0.14564152771885266
17:41062669-41447005,0.13586966803494505
6:135286400-135498058,0.13414151965821908
11:83733321-85064586,0.133581300757524
1:199087690-199111062,0.12776723186317032
5:154006451-157875296,0.12059283496998027
5:152572508-153979903,0.10232451494270664
12:9528590-9585156,0.10053292706795258
15:21195208-21982746,0.09994339779329618
20:35800429-36053431,0.09801652839742536
16:68667006-68679377,0.0909140896048776
12:44923991-45851001,0.08797770149087064
17:42648686-42873571,0.08741788476396352
6:119263604-122326220,0.07667871414885778
6:32718991-32728487,0.07626698405587337
12:64727853-66012212,0.07505012100331213
6:22060377-24236375,0.06874996368903381
9:42913008-43066618,0.06730820450853216
11:78137964-78627898,0.06661565417529772
17:61247968-61578637,0.06150877138361509
11:79858760-79974644,0.054128098165253914
12:51241859-52425218,0.052396122657449896
11:80023540-80218800,0.04519906717830157
8:36347029-36416687,0.04463321426698266
16:70601469-71161060,0.03819503578155373
5:159735059-161722215,0.03726432144772479
17:53437573-53723036,0.03530008187497161
6:136561135-136680507,0.02640421045243561
6:136687816-137521284,0.025584666038163176
8:36426253-36481039,0.025282021314373022
8:36512939-36612488,0.025282021314373022
6:132048194-133414796,0.021643542346316248
14:32610323-34077415,0.01754177730883185
22:30243922-31511793,0.010789319299355565
12:52473664-54879669,0.009285511100161053
5:142831583-149027600,0.0067811699631042735
12:31173065-31257959,0.004820786214085318
1:16954838-16997273,0.004731472541171399
20:771302-1487457,0.0035632407261464117
20:1578087-3037884,0.0035632407261464117
20:3049358-5225253,0.0035632407261464117
22:28922568-30224848,0.0028707069350704475
