Feature,Importance
17:35076296-35282086,1.7752832976427135
3:196908262-196937230,0.5156522579071183
16:68710277-68751390,0.35800574984331973
1:149369522-149394958,0.3432243063555406
8:36512939-36612488,0.3101577894640393
8:36426253-36481039,0.28013039067742534
20:1516966-1539155,0.2779661770369021
12:9528590-9585156,0.2702237158704978
1:199087690-199111062,0.2675123674676053
22:37683612-37705310,0.2630823462229105
23:1702016-1706462,0.25900968496932664
8:36627162-36673994,0.24321089054709816
8:35875555-36133992,0.23324420879858904
22:41293579-41298170,0.22353540658853563
16:69391442-69397102,0.2136478065123968
23:3229-45135,0.2113573793816638
16:69763173-70593293,0.2091845944022195
16:67314736-68371045,0.20565385295795638
17:77442683-77478901,0.19870014630109786
6:32634044-32660090,0.19844799059030982
15:41676219-44156737,0.19577158580302326
15:44193179-48393597,0.19535515630757982
15:39590440-39979013,0.1893327503166792
15:39989024-40217541,0.1893327503166792
17:25816140-25841839,0.1882818204521639
16:33433058-33486907,0.18494129136466156
17:24265896-24395518,0.18409760554690527
8:42123757-42175380,0.1777280323240802
12:64727853-66012212,0.1754882248699001
17:77503378-77503685,0.17051061784627752
4:69215734-69311985,0.1701905924131733
15:39578565-39587716,0.16659025063744695
22:41221190-41290227,0.16594141357617073
12:75396411-75693696,0.162186905962147
17:41062669-41447005,0.15976911200535646
16:68880321-69381055,0.15802519089602177
16:70601469-71161060,0.15796312276205363
14:19268776-19330937,0.15711891701974984
9:42913008-43066618,0.15675486877653325
12:85986743-87258350,0.15426850159240452
17:77653668-77696106,0.15023297733867938
15:40224293-41638388,0.14754353044566182
8:145962567-146264846,0.14285950088963617
16:72933295-73012768,0.142367224183244
17:77704506-78562654,0.14168827837478695
1:2664285-2665530,0.1399180667704006
1:244870377-244942436,0.13739050158009664
16:86985669-88124384,0.136704552987845
17:42648686-42873571,0.13638807124569743
5:802518-826044,0.1361357792220247
16:14956177-14988855,0.13480503421817888
20:1499034-1506379,0.13474072286967076
8:36347029-36416687,0.13446920698203899
1:149579637-149582884,0.13416939319728713
6:22060377-24236375,0.12940131300878965
23:83340047-88078465,0.12880291031254665
11:78137964-78627898,0.1287219293591381
7:141965869-141978333,0.12804628538370008
13:56645552-56673183,0.12788405150389004
4:70334625-70410860,0.12785798293428802
22:22725750-22731544,0.12664330030188312
16:33495501-33539023,0.12484030541508723
17:25637986-25806515,0.12412710834894927
1:83381408-83603746,0.12043366483936505
23:1672003-1687507,0.11781710411084048
11:66160840-66454365,0.11579018431062653
