Feature,Importance
17:35076296-35282086,1.8590066674416819
1:149369522-149394958,0.6175989682219146
1:193480150-193527058,0.3738498329642598
16:68710277-68751390,0.2853147001042499
7:143321677-143391065,0.2513387308343264
8:36512939-36612488,0.24771702148398703
8:42123757-42175380,0.22965135182768256
16:67314736-68371045,0.22064019003940444
11:70519863-70552702,0.21192493303349033
16:69391442-69397102,0.20358157320822487
16:72933295-73012768,0.19628558489599898
17:34989300-35067992,0.1939496049897864
8:36426253-36481039,0.18320584184777863
14:105708209-105839439,0.18176824062336083
19:232836-236846,0.1811911881935339
15:32447707-32511475,0.17205526158473686
16:68880321-69381055,0.17164243076282565
23:152552851-152570071,0.17127289181409233
17:40859120-40926154,0.17107195935893726
22:37683612-37705310,0.16946392355746945
16:69763173-70593293,0.16910946153804723
23:152994680-153054487,0.16639433618153673
4:70334625-70410860,0.16611065912000075
8:42191493-42325689,0.16473881454724704
14:19350230-19397709,0.16464759904133713
8:7040596-7261418,0.16241631396755513
3:196908262-196937230,0.16227983562516474
12:74674175-74721164,0.15965667594741625
16:50206404-50697276,0.1555777215570975
9:42913008-43066618,0.1458856452592641
19:8246-232080,0.1434688320425219
9:43094089-43410478,0.14262332270043518
17:41062669-41447005,0.1422526684331104
17:41983407-42049540,0.1419189848171342
12:63574243-64694907,0.13999465445630951
12:63340667-63566937,0.13999465445630951
8:36627162-36673994,0.13535535079583627
19:17894043-18171634,0.13232562064947795
19:18176377-18335744,0.13232562064947795
6:32732764-32738443,0.12936652324913814
14:35347136-36478421,0.12689117059760743
17:34900309-34977994,0.12591871503372692
12:64727853-66012212,0.12271676766203998
12:85450052-85962613,0.12229161267001724
11:80263397-80790766,0.11843680315950411
18:42452207-44456688,0.11564628461234128
17:38035466-38070950,0.11532438837134917
17:38784700-39114890,0.11532438837134917
17:39139634-39275931,0.11532438837134917
17:38077519-38710043,0.11532438837134917
17:39280577-40847517,0.11532438837134917
4:162205286-162321148,0.11304633372322946
17:77704506-78562654,0.11266895510212378
12:77023447-82859962,0.11235950895474034
14:105602756-105630089,0.11149536210024506
6:66247043-66553014,0.1106895318333001
3:114484581-115444884,0.10959996004420663
3:113370366-113847282,0.10959996004420663
3:111105693-113356479,0.10959996004420663
12:82881635-83804633,0.10926390455191723
12:75706042-77012738,0.10919706732461049
1:245009770-245014643,0.1091417830781301
14:30209271-30636982,0.10662906692549734
14:30644343-31109495,0.10662906692549734
14:49379507-49689536,0.10609212039268189
17:41458670-41494331,0.10562948712615045
5:69274433-70345552,0.10420048193148125
6:64633346-64705894,0.10414292629968708
23:153466463-153491568,0.10145014683149527
22:23930054-23946476,0.10140865543630594
22:23022675-23926329,0.10140865543630594
22:23952881-23967594,0.10140865543630594
22:41293579-41298170,0.10111193299837144
23:66527817-67559319,0.10004470516323039
1:21483025-21545437,0.09926523099320288
1:141474904-141491470,0.09858674591529866
11:69968689-69976020,0.0985714281202094
20:194755-763411,0.09856416059823311
8:55862289-56770315,0.09756118840142275
12:75396411-75693696,0.09503389145774205
1:17042808-19187091,0.09501568272142419
22:17298569-17337860,0.09468955414101148
1:244870377-244942436,0.09464430882342992
15:32605086-32654561,0.09452393900300347
12:74728500-75387573,0.09436021145376157
6:32634044-32660090,0.09426811832413579
20:771302-1487457,0.09377059094216073
18:36996895-42435594,0.09309549290530784
16:88130840-88690571,0.0926591413538906
8:39356595-39363050,0.09241467915671724
1:16693433-16750002,0.09171230609775388
22:22725750-22731544,0.08974149830515353
15:44193179-48393597,0.08780862714925769
8:54691654-55840039,0.08739700035206843
12:59087176-60039028,0.08676150949150149
6:65983562-66231264,0.08672708191198578
6:64750730-65951879,0.08672708191198578
5:150148732-150201145,0.08584394986182825
12:51241859-52425218,0.08545138661122695
8:35875555-36133992,0.08499606564564896
14:19268776-19330937,0.0845200379738206
17:78572201-78653545,0.08433078117546487
17:37416931-38029088,0.08421577730921254
17:77442683-77478901,0.08364239055122791
14:34765550-35332809,0.0816831894352678
1:199087690-199111062,0.08124761893530785
22:22742616-23009582,0.080723491599688
16:86985669-88124384,0.08067791639343753
16:83310258-86444508,0.08067791639343753
23:95696214-108087627,0.08064509074554607
17:61590200-61726416,0.07997078784918957
11:82599955-82867442,0.0797294651670373
11:82288127-82586347,0.0797294651670373
16:30561643-31835555,0.0774690300468422
22:41221190-41290227,0.07639211470012967
23:96116-214107,0.07266696881588676
16:50733339-51847185,0.07257737468863473
16:48783687-49225359,0.07257737468863473
17:61247968-61578637,0.0717907637533903
19:47934635-48237067,0.07160523491204139
11:80023540-80218800,0.07143999407282002
11:79858760-79974644,0.07143999407282002
20:61795796-62379059,0.07090227026073383
1:244693374-244865778,0.07008295919878621
16:86462708-86560114,0.06986348612225543
16:49237703-50174920,0.06957432877068741
12:60060494-62081511,0.06948362269862858
16:82128902-83298645,0.06911143245539324
8:60942453-61985710,0.06748031202037057
17:61733108-61833313,0.06650049323480038
6:135520431-136095714,0.06620166747545983
20:9785760-12243594,0.06552700395046564
23:153062077-153452633,0.06538885769959293
11:68740184-68819585,0.0646896458062473
11:68821295-68894909,0.0646896458062473
22:24876788-26191987,0.06451575774249599
22:26999547-27819338,0.06451575774249599
14:36483547-37475298,0.06415410131279803
14:37627931-38890108,0.06415410131279803
17:23604362-23631712,0.06371531458466448
16:68838368-68874167,0.0636609782154467
16:70601469-71161060,0.06321959746131267
8:59494642-60065639,0.06299599131124502
8:56798074-58669985,0.06299599131124502
8:58694882-59488208,0.06299599131124502
8:60072685-60895610,0.06299599131124502
6:135286400-135498058,0.06138630996563412
9:43474997-43808233,0.0611640829805023
1:120313797-120384620,0.060854474339488214
12:85986743-87258350,0.06047031461240812
22:37717564-37801946,0.06036367752273071
6:69820589-70731852,0.06029169591741469
5:802518-826044,0.05972776275613673
14:48586397-48763420,0.05924692205171432
19:18341711-19173645,0.059186022048668525
23:83340047-88078465,0.05857770878837312
3:97955574-100144881,0.05850729953755698
16:68606309-68648091,0.05834850223386993
6:136687816-137521284,0.057958174389475585
3:95043863-95338953,0.057680852663846476
14:105907191-105946993,0.05748465224140332
23:153997146-154492924,0.05719108993923099
17:36541969-36673853,0.05649182146125949
