fold,n_estimators,max_depth,max_features,k,l,accuracy,f1_weighted,roc_auc_ovr,train_accuracy,train_f1_weighted,train_roc_auc_ovr
3_4_4,100,10.0,sqrt,,,0.6875,0.6795454545454545,0.8542613636363636,1.0,1.0,1.0
3_4_5,100,10.0,sqrt,,,0.8125,0.8028846153846154,0.9616477272727273,1.0,1.0,1.0
3_5_1,50,,sqrt,,,0.875,0.8791035353535354,0.9914772727272727,1.0,1.0,1.0
3_5_2,50,,sqrt,,,0.6875,0.6517857142857143,0.7997159090909091,1.0,1.0,1.0
3_5_3,50,,sqrt,,,0.75,0.75,0.9142045454545455,1.0,1.0,1.0
3_5_4,50,,sqrt,,,0.8125,0.8092948717948718,0.9377840909090909,1.0,1.0,1.0
3_5_5,50,,sqrt,,,0.75,0.7363636363636363,0.9397727272727273,1.0,1.0,1.0
3_6_1,100,,sqrt,,,0.9375,0.9375,1.0,1.0,1.0,1.0
3_6_2,100,,sqrt,,,0.6875,0.6517857142857143,0.8522727272727273,1.0,1.0,1.0
3_6_3,100,,sqrt,,,0.8125,0.8092948717948718,0.934375,1.0,1.0,1.0
3_6_4,100,,sqrt,,,0.8125,0.8092948717948718,0.9497159090909091,1.0,1.0,1.0
3_6_5,100,,sqrt,,,0.6875,0.6543560606060607,0.9397727272727272,1.0,1.0,1.0
3_7_1,50,10.0,sqrt,,,0.875,0.8791035353535354,0.9914772727272727,1.0,1.0,1.0
3_7_2,50,10.0,sqrt,,,0.6875,0.6517857142857143,0.7997159090909091,1.0,1.0,1.0
3_7_3,50,10.0,sqrt,,,0.75,0.75,0.9142045454545455,1.0,1.0,1.0
3_7_4,50,10.0,sqrt,,,0.8125,0.8092948717948718,0.9377840909090909,1.0,1.0,1.0
3_7_5,50,10.0,sqrt,,,0.75,0.7363636363636363,0.9397727272727273,1.0,1.0,1.0
3_8_1,100,10.0,sqrt,,,0.9375,0.9375,1.0,1.0,1.0,1.0
3_8_2,100,10.0,sqrt,,,0.6875,0.6517857142857143,0.8522727272727273,1.0,1.0,1.0
3_8_3,100,10.0,sqrt,,,0.8125,0.8092948717948718,0.946590909090909,1.0,1.0,1.0
3_8_4,100,10.0,sqrt,,,0.8125,0.8092948717948718,0.9497159090909091,1.0,1.0,1.0
3_8_5,100,10.0,sqrt,,,0.6875,0.6543560606060607,0.9397727272727272,1.0,1.0,1.0
3_9_1,50,,sqrt,,,0.6875,0.6843434343434343,0.875,0.6875,0.6665736607142857,0.8414279636982416
3_9_2,50,,sqrt,,,0.5625,0.5550213675213675,0.7673295454545455,0.71875,0.7008463541666666,0.8683641334440754
3_9_3,50,,sqrt,,,0.75,0.7232142857142857,0.9045454545454545,0.671875,0.6158486346516008,0.837109807585825
3_9_4,50,,sqrt,,,0.5,0.4916666666666667,0.7613636363636364,0.71875,0.7169157608695653,0.8606424764673312
3_9_5,50,,sqrt,,,0.5625,0.5400641025641026,0.7420454545454546,0.71875,0.7044270833333333,0.8722673572616407
3_10_1,100,,sqrt,,,0.6875,0.6843434343434343,0.875,0.6875,0.6665736607142857,0.8414279636982416
3_10_2,100,,sqrt,,,0.5625,0.5550213675213675,0.7673295454545455,0.71875,0.7008463541666666,0.8683641334440754
3_10_3,100,,sqrt,,,0.75,0.7232142857142857,0.9045454545454545,0.671875,0.6158486346516008,0.837109807585825
3_10_4,100,,sqrt,,,0.5,0.4916666666666667,0.7613636363636364,0.71875,0.7169157608695653,0.8606424764673312
3_10_5,100,,sqrt,,,0.5625,0.5400641025641026,0.7420454545454546,0.71875,0.7044270833333333,0.8722673572616407
3_11_1,50,10.0,sqrt,,,0.6875,0.6843434343434343,0.875,0.6875,0.6665736607142857,0.8414279636982416
3_11_2,50,10.0,sqrt,,,0.5625,0.5550213675213675,0.7673295454545455,0.71875,0.7008463541666666,0.8683641334440754
3_11_3,50,10.0,sqrt,,,0.75,0.7232142857142857,0.9045454545454545,0.671875,0.6158486346516008,0.837109807585825
3_11_4,50,10.0,sqrt,,,0.5,0.4916666666666667,0.7613636363636364,0.71875,0.7169157608695653,0.8606424764673312
